age,gender,census_region,n
80,Female,Northeast,258
80,Female,Midwest,90
80,Female,South,301
80,Female,West,405
80,Male,Northeast,192
80,Male,Midwest,73
80,Male,South,240
80,Male,West,253
81,Female,Northeast,257
81,Female,Midwest,96
81,Female,South,319
81,Female,West,373
81,Male,Northeast,193
81,Male,Midwest,66
81,Male,South,219
81,Male,West,264
82,Female,Northeast,225
82,Female,Midwest,82
82,Female,South,274
82,Female,West,321
82,Male,Northeast,176
82,Male,Midwest,47
82,Male,South,200
82,Male,West,229
83,Female,Northeast,231
83,Female,Midwest,90
83,Female,South,271
83,Female,West,332
83,Male,Northeast,161
83,Male,Midwest,51
83,Male,South,203
83,Male,West,246
84,Female,Northeast,170
84,Female,Midwest,81
84,Female,South,247
84,Female,West,293
84,Male,Northeast,135
84,Male,Midwest,59
84,Male,South,149
84,Male,West,183
85,Female,Northeast,160
85,Female,Midwest,62
85,Female,South,215
85,Female,West,268
85,Male,Northeast,111
85,Male,Midwest,48
85,Male,South,139
85,Male,West,176
86,Female,Northeast,174
86,Female,Midwest,60
86,Female,South,224
86,Female,West,254
86,Male,Northeast,116
86,Male,Midwest,46
86,Male,South,122
86,Male,West,149
87,Female,Northeast,144
87,Female,Midwest,42
87,Female,South,162
87,Female,West,207
87,Male,Northeast,84
87,Male,Midwest,39
87,Male,South,128
87,Male,West,152
88,Female,Northeast,114
88,Female,Midwest,66
88,Female,South,159
88,Female,West,187
88,Male,Northeast,77
88,Male,Midwest,29
88,Male,South,100
88,Male,West,117
89,Female,Northeast,123
89,Female,Midwest,50
89,Female,South,136
89,Female,West,174
89,Male,Northeast,76
89,Male,Midwest,22
89,Male,South,84
89,Male,West,103
90,Female,Northeast,105
90,Female,Midwest,49
90,Female,South,116
90,Female,West,170
90,Male,Northeast,57
90,Male,Midwest,16
90,Male,South,54
90,Male,West,72
92,Female,Northeast,85
92,Female,Midwest,12
92,Female,South,52
92,Female,West,11
92,Male,Northeast,38
92,Male,Midwest,5
92,Male,South,33
92,Male,West,4
93,Female,Northeast,9
93,Female,South,127
93,Female,West,20
93,Male,Northeast,2
93,Male,South,55
93,Male,West,6
94,Female,Northeast,4
94,Female,South,37
94,Female,West,64
94,Male,Northeast,2
94,Male,South,11
94,Male,West,28
95,Female,Northeast,84
95,Female,Midwest,109
95,Female,South,64
95,Female,West,501
95,Male,Northeast,34
95,Male,Midwest,51
95,Male,South,31
95,Male,West,223
96,Female,Northeast,222
96,Female,Midwest,32
96,Female,South,159
96,Female,West,14
96,Male,Northeast,85
96,Male,Midwest,9
96,Male,South,89
96,Male,West,4
97,Female,Northeast,28
97,Female,West,8
97,Male,Northeast,5
97,Male,West,8
